symbol,signal_date,entry_date,entry_price,exit_date,exit_price,return_pct,profit,investment,note
RAMCOSYS,2025-12-01,2025-12-01,560.90,2025-12-08,602.35,7.39%,73.90,1000.00,
SHRIPISTON,2025-12-01,2025-12-01,2602.50,2025-12-08,3044.50,16.98%,169.84,1000.00,
NIFTYGS1115YR,2025-12-01,,,,,,,1000.00,no price data
INDIACEM,2025-12-02,2025-12-02,382.95,2025-12-09,408.00,6.54%,65.41,1000.00,
ABDL,2025-12-02,2025-12-02,598.60,2025-12-09,613.60,2.51%,25.06,1000.00,
SALSTEEL,2025-12-02,2025-12-02,37.13,2025-12-09,34.44,-7.24%,-72.45,1000.00,
RBLBANK,2025-12-02,2025-12-02,302.25,2025-12-09,304.10,0.61%,6.12,1000.00,
SOMATEX,2025-12-03,2025-12-03,113.44,2025-12-10,110.70,-2.42%,-24.15,1000.00,
INDIANB,2025-12-03,2025-12-03,812.80,2025-12-10,782.80,-3.69%,-36.91,1000.00,
SOMATEX,2025-12-04,2025-12-04,111.17,2025-12-11,108.49,-2.41%,-24.11,1000.00,
IFBAGRO,2025-12-05,2025-12-05,1222.20,2025-12-12,1256.20,2.78%,27.82,1000.00,
SOMATEX,2025-12-05,2025-12-05,113.00,2025-12-12,106.33,-5.90%,-59.03,1000.00,
INDIANB,2025-12-05,2025-12-05,808.95,2025-12-12,789.35,-2.42%,-24.23,1000.00,
INDIAGLYCO,2025-12-08,2025-12-08,1010.20,2025-12-15,1067.80,5.70%,57.02,1000.00,
IFBAGRO,2025-12-08,2025-12-08,1194.80,2025-12-15,1221.00,2.19%,21.93,1000.00,
NIFTYTOTALMKT,2025-12-08,,,,,,,1000.00,no price data
ORICONENT,2025-12-08,2025-12-08,55.09,2025-12-15,59.53,8.06%,80.60,1000.00,
MOVALUE,2025-12-08,2025-12-08,110.82,2025-12-15,112.71,1.71%,17.05,1000.00,
JAYNECOIND,2025-12-08,2025-12-08,67.64,2025-12-15,74.93,10.78%,107.78,1000.00,
INFRAIETF,2025-12-08,2025-12-08,96.81,2025-12-15,98.00,1.23%,12.29,1000.00,
METAL,2025-12-08,2025-12-08,10.18,2025-12-15,10.57,3.83%,38.31,1000.00,
VAL30IETF,2025-12-08,2025-12-08,14.04,2025-12-15,14.33,2.07%,20.66,1000.00,
BANKINDIA,2025-12-08,2025-12-08,138.15,2025-12-15,141.77,2.62%,26.20,1000.00,
NAVINFLUOR,2025-12-08,2025-12-08,5563.00,2025-12-15,6144.00,10.44%,104.44,1000.00,
HCG,2025-12-08,2025-12-08,704.85,2025-12-15,718.30,1.91%,19.08,1000.00,
SKMEGGPROD,2025-12-08,2025-12-08,384.30,2025-12-15,438.30,14.05%,140.52,1000.00,
CNXINFRA,2025-12-08,,,,,,,1000.00,no price data
NIFTY100LIQ15,2025-12-08,,,,,,,1000.00,no price data
SIGMA,2025-12-08,2025-12-08,50.15,2025-12-15,51.43,2.55%,25.52,1000.00,
MTARTECH,2025-12-08,2025-12-08,2328.30,2025-12-15,2378.10,2.14%,21.39,1000.00,
SANDUMA,2025-12-09,2025-12-09,196.26,2025-12-16,205.86,4.89%,48.91,1000.00,
NIFTYTOTALMKT,2025-12-09,,,,,,,1000.00,no price data
BHAGYANGR,2025-12-09,2025-12-09,123.85,2025-12-16,137.90,11.34%,113.44,1000.00,
