symbol,signal_date,entry_date,entry_price,exit_date,exit_price,return_pct,profit,investment,note
SILVER,2025-10-28,2025-10-28,137.4600067138672,2025-11-04,146.16000366210938,0.06329111394815987,63.29111394815987,1000.0,
SILVER1,2025-10-28,2025-10-28,135.1999969482422,2025-11-04,141.9199981689453,0.04970415216263432,49.704152162634315,1000.0,
SILVERBETA,2025-10-28,2025-10-28,135.0,2025-11-04,141.7899932861328,0.05029624656394676,50.29624656394676,1000.0,
EGOLD,2025-10-28,2025-10-28,114.5999984741211,2025-11-04,120.25,0.049301933692039154,49.30193369203916,1000.0,
ESILVER,2025-10-28,2025-10-28,140.3800048828125,2025-11-04,146.99000549316406,0.047086482265544224,47.08648226554423,1000.0,
BBNPPGOLD,2025-10-28,2025-10-28,111.25,2025-11-04,116.75,0.04943820224719101,49.438202247191015,1000.0,
SILVERADD,2025-10-28,2025-10-28,134.24000549316406,2025-11-04,140.9600067138672,0.050059601800637066,50.05960180063707,1000.0,
SBISILVER,2025-10-28,2025-10-28,136.5800018310547,2025-11-04,143.57000732421875,0.051178835843116235,51.17883584311623,1000.0,
BAFNAPH,2025-10-28,2025-10-29,148.60000610351562,,,,,1000.0,no exit (insufficient data)
TFCILTD,2025-10-29,2025-10-29,70.16000366210938,2025-11-06,67.91000366210938,-0.03206955362824668,-32.06955362824668,1000.0,
TFCILTD,2025-10-31,2025-10-31,68.86000061035156,,,,,1000.0,no exit (insufficient data)
UNITEDPOLY,2025-10-31,2025-10-31,39.810001373291016,,,,,1000.0,no exit (insufficient data)
HEROMOTOCO,2025-11-06,2025-11-06,5326.0,2025-11-13,5508.5,0.034265865565152084,34.26586556515208,1000.0,
TVSMOTOR,2025-11-06,2025-11-06,3446.800048828125,2025-11-13,3450.60009765625,0.001102486008556538,1.102486008556538,1000.0,
NILASPACES,2025-11-06,2025-11-06,16.989999771118164,2025-11-13,16.170000076293945,-0.04826366720841056,-48.26366720841056,1000.0,
LUMAXIND,2025-11-07,2025-11-07,4590.7001953125,2025-11-14,4897.39990234375,0.06680891671915687,66.80891671915687,1000.0,
MOTHERSON,2025-11-10,2025-11-10,102.75,2025-11-17,109.94999694824219,0.07007296299992397,70.07296299992396,1000.0,
MARUTI,2025-11-10,2025-11-10,15583.0,2025-11-17,15878.0,0.01893088622216518,18.930886222165178,1000.0,
VERTOZ,2025-11-10,2025-11-10,68.29000091552734,2025-11-17,70.62000274658203,0.034119223895410826,34.119223895410826,1000.0,
YATHARTH,2025-11-11,2025-11-11,758.5999755859375,2025-11-18,777.0999755859375,0.02438702952199639,24.387029521996393,1000.0,
TFCILTD,2025-11-12,2025-11-12,68.55999755859375,2025-11-19,65.2300033569336,-0.04857051225555001,-48.57051225555001,1000.0,
SIGMA,2025-11-19,2025-11-19,49.75,2025-11-26,53.84000015258789,0.08221105834347518,82.21105834347519,1000.0,
GMBREW,2025-11-21,2025-11-21,1031.199951171875,2025-11-28,1020.5,-0.010376213807725044,-10.376213807725044,1000.0,
HINDALCO,2025-11-24,2025-11-24,774.6500244140625,2025-12-01,810.7999877929688,0.0466661876196928,46.6661876196928,1000.0,
HINDCOPPER,2025-11-24,2025-11-24,313.29998779296875,2025-12-01,339.29998779296875,0.08298755510064372,82.98755510064372,1000.0,
JAYNECOIND,2025-11-24,2025-11-24,70.20999908447266,2025-12-01,70.62000274658203,0.0058396762207058575,5.839676220705858,1000.0,
SMSPHARMA,2025-11-24,2025-11-24,271.54998779296875,2025-12-01,314.04998779296875,0.15650893725100162,156.5089372510016,1000.0,
TERASOFT,2025-11-24,2025-11-24,462.75,2025-12-01,495.8999938964844,0.07163693980871826,71.63693980871825,1000.0,
CNXMNC,2025-11-24,,,,,,,1000.0,no price data
MON100,2025-11-24,2025-11-24,230.35000610351562,2025-12-01,233.22000122070312,0.012459279536106328,12.459279536106328,1000.0,
JAYNECOIND,2025-11-25,2025-11-25,70.3499984741211,2025-12-02,68.43000030517578,-0.027292085438375694,-27.292085438375693,1000.0,
CHOICEIN,2025-11-25,2025-11-25,780.25,2025-12-02,784.7000122070312,0.00570331586931272,5.70331586931272,1000.0,
SMSPHARMA,2025-11-25,2025-11-25,273.54998779296875,2025-12-02,311.5,0.13873154414378192,138.73154414378192,1000.0,
CNXMNC,2025-11-25,,,,,,,1000.0,no price data
HNGSNGBEES,2025-11-25,2025-11-25,503.010009765625,2025-12-02,520.3200073242188,0.03441282921319847,34.41282921319847,1000.0,
PAYTM,2025-11-25,2025-11-25,1241.4000244140625,2025-12-02,1364.199951171875,0.09892051260090295,98.92051260090295,1000.0,
SUMEETINDS,2025-11-26,2025-11-26,30.8700008392334,2025-12-03,30.600000381469727,-0.008746370276107088,-8.746370276107088,1000.0,
AAREYDRUGS,2025-11-26,2025-11-26,90.26000213623047,2025-12-03,79.70999908447266,-0.1168845867722734,-116.8845867722734,1000.0,
AAREYDRUGS,2025-11-27,2025-11-27,88.19000244140625,2025-12-04,78.83000183105469,-0.1061344863503137,-106.1344863503137,1000.0,
AAREYDRUGS,2025-11-28,2025-11-28,87.69000244140625,2025-12-05,75.62000274658203,-0.13764396577465368,-137.64396577465368,1000.0,
RAMCOSYS,2025-12-01,2025-12-01,560.9000244140625,2025-12-08,602.3499755859375,0.07389900047726901,73.89900047726901,1000.0,
SHRIPISTON,2025-12-01,2025-12-01,2602.5,2025-12-08,3044.5,0.16983669548511046,169.83669548511045,1000.0,
NIFTYGS1115YR,2025-12-01,,,,,,,1000.0,no price data
INDIACEM,2025-12-02,2025-12-02,382.95001220703125,2025-12-09,408.0,0.06541320536484582,65.41320536484582,1000.0,
ABDL,2025-12-02,2025-12-02,598.5999755859375,2025-12-09,613.5999755859375,0.02505847078479631,25.05847078479631,1000.0,
SALSTEEL,2025-12-02,2025-12-02,37.130001068115234,2025-12-09,34.439998626708984,-0.07244821879943991,-72.44821879943991,1000.0,
RBLBANK,2025-12-02,2025-12-02,302.25,2025-12-09,304.1000061035156,0.00612078115307072,6.12078115307072,1000.0,
SOMATEX,2025-12-03,2025-12-03,113.44000244140625,2025-12-10,110.69999694824219,-0.024153785562366532,-24.153785562366533,1000.0,
INDIANB,2025-12-03,2025-12-03,812.7999877929688,2025-12-10,782.7999877929688,-0.03690944937322195,-36.90944937322195,1000.0,
SOMATEX,2025-12-04,2025-12-04,111.16999816894531,2025-12-11,108.48999786376953,-0.024107226313910508,-24.10722631391051,1000.0,
IFBAGRO,2025-12-05,2025-12-05,1222.199951171875,2025-12-12,1256.199951171875,0.02781868872388677,27.818688723886773,1000.0,
SOMATEX,2025-12-05,2025-12-05,113.0,2025-12-12,106.33000183105469,-0.059026532468542586,-59.026532468542584,1000.0,
INDIANB,2025-12-05,2025-12-05,808.9500122070312,2025-12-12,789.3499755859375,-0.024228983652054874,-24.228983652054875,1000.0,
INDIAGLYCO,2025-12-08,2025-12-08,1010.2000122070312,2025-12-15,1067.800048828125,0.05701844775793682,57.01844775793682,1000.0,
IFBAGRO,2025-12-08,2025-12-08,1194.800048828125,2025-12-15,1221.0,0.021928314446900337,21.928314446900337,1000.0,
NIFTYTOTALMKT,2025-12-08,,,,,,,1000.0,no price data
ORICONENT,2025-12-08,2025-12-08,55.09000015258789,2025-12-15,59.529998779296875,0.08059536421149224,80.59536421149224,1000.0,
MOVALUE,2025-12-08,2025-12-08,110.81999969482422,2025-12-15,112.70999908447266,0.017054677809539003,17.054677809539,1000.0,
JAYNECOIND,2025-12-08,2025-12-08,67.63999938964844,2025-12-15,74.93000030517578,0.10777647813880671,107.77647813880671,1000.0,
INFRAIETF,2025-12-08,2025-12-08,96.80999755859375,2025-12-15,98.0,0.01229214411131461,12.29214411131461,1000.0,
METAL,2025-12-08,2025-12-08,10.180000305175781,2025-12-15,10.569999694824219,0.038310351469257965,38.31035146925797,1000.0,
VAL30IETF,2025-12-08,2025-12-08,14.039999961853027,2025-12-15,14.329999923706055,0.020655267994370605,20.655267994370604,1000.0,
BANKINDIA,2025-12-08,2025-12-08,138.14999389648438,2025-12-15,141.77000427246094,0.02620347836344482,26.203478363444823,1000.0,
NAVINFLUOR,2025-12-08,2025-12-08,5563.0,2025-12-15,6144.0,0.10444005033255438,104.44005033255438,1000.0,
HCG,2025-12-08,2025-12-08,704.8499755859375,2025-12-15,718.2999877929688,0.019082092179758304,19.082092179758305,1000.0,
SKMEGGPROD,2025-12-08,2025-12-08,384.29998779296875,2025-12-15,438.29998779296875,0.14051522694580734,140.51522694580734,1000.0,
CNXINFRA,2025-12-08,,,,,,,1000.0,no price data
NIFTY100LIQ15,2025-12-08,,,,,,,1000.0,no price data
SIGMA,2025-12-08,2025-12-08,50.150001525878906,2025-12-15,51.43000030517578,0.025523404593245272,25.52340459324527,1000.0,
MTARTECH,2025-12-08,2025-12-08,2328.300048828125,2025-12-15,2378.10009765625,0.021389016786384666,21.389016786384666,1000.0,
SANDUMA,2025-12-09,2025-12-09,196.25999450683594,2025-12-16,205.86000061035156,0.04891473745140275,48.91473745140275,1000.0,
NIFTYTOTALMKT,2025-12-09,,,,,,,1000.0,no price data
BHAGYANGR,2025-12-09,2025-12-09,123.8499984741211,2025-12-16,137.89999389648438,0.11344364630976624,113.44364630976624,1000.0,
SUMEETINDS,2025-12-09,2025-12-09,30.239999771118164,2025-12-16,29.540000915527344,-0.023148110479133677,-23.148110479133678,1000.0,
METALIETF,2025-12-09,2025-12-09,10.149999618530273,2025-12-16,10.510000228881836,0.03546804176172874,35.46804176172874,1000.0,
